;org:group;concept:instance;org:resource;Activity;Complete Timestamp;lifecycle:transition;case:startdate;case:responsible;case:enddate_planned;case:department;case:group;Case ID;case:deadline;case:channel;case:enddate;Duration
23;Group 1;task-44376;Resource03;T06 Determine necessity of stop advice;2011-10-25 07:28:15.484000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;14.98
24;Group 1;task-44380;Resource03;T10 Determine necessity to stop indication;2011-10-25 07:28:33.002000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10025;2011-12-05 00:06:40+00:00;Internet;2011-11-14 08:15:07.941000+00:00;17.518
25;EMPTY;task-43250;Resource03;Confirmation of receipt;2011-10-25 12:13:10.744000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;0.0
26;Group 4;task-44467;Resource03;T02 Check confirmation of receipt;2011-10-25 12:13:31.837000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;21.093
27;Group 3;task-44469;Resource03;T04 Determine confirmation of receipt;2011-10-25 12:13:49.542000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;17.705
28;Group 2;task-44470;Resource03;T05 Print and send confirmation of receipt;2011-10-25 12:14:24.249000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;34.707
29;Group 1;task-44468;Resource03;T06 Determine necessity of stop advice;2011-10-25 12:22:15.239000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;470.99
30;Group 1;task-44471;Resource03;T10 Determine necessity to stop indication;2011-10-25 12:23:06.272000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;51.033
31;Group 1;task-44472;Resource03;T16 Report reasons to hold request;2011-10-25 12:23:58.755000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;52.483
32;Group 4;task-44473;Resource03;T17 Check report Y to stop indication;2011-10-25 12:24:22.922000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;24.167
33;Group 3;task-44474;Resource03;T19 Determine report Y to stop indication;2011-10-25 12:24:55.079000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;32.157
34;Group 2;task-44475;Resource03;T20 Print report Y to stop indication;2011-10-25 12:25:10.989000+00:00;complete;2011-10-09 23:06:40.020000+00:00;Resource11;2011-12-05 00:06:40.010000+00:00;General;Group 8;case-10028;2011-12-05 00:06:40+00:00;Internet;2011-12-05 14:34:49.174000+00:00;15.91
35;EMPTY;task-43463;Resource06;Confirmation of receipt;2011-10-17 13:31:27.570000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;0.0
36;Group 4;task-43499;Resource06;T02 Check confirmation of receipt;2011-10-17 13:31:51.615000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;24.045
37;Group 3;task-43501;Resource06;T04 Determine confirmation of receipt;2011-10-17 13:32:34.591000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;42.976
38;Group 2;task-43503;Resource06;T05 Print and send confirmation of receipt;2011-10-17 13:33:42.796000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;68.205
39;Group 1;task-43500;Resource06;T06 Determine necessity of stop advice;2011-10-17 13:34:25.518000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;42.722
40;Group 1;task-43504;Resource06;T10 Determine necessity to stop indication;2011-10-17 13:41:19.472000+00:00;complete;2011-10-17 12:23:48.241000+00:00;Resource06;2011-12-12 13:23:48.241000+00:00;General;Group 5;case-10059;2011-12-12 13:23:48.241000+00:00;Internet;2011-10-24 09:10:14.651000+00:00;413.954
41;EMPTY;task-43657;Resource03;Confirmation of receipt;2011-10-24 13:00:50.433000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;0.0
42;Group 1;task-44274;Resource03;T06 Determine necessity of stop advice;2011-10-24 13:01:21.907000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;31.474
43;Group 1;task-44275;Resource03;T10 Determine necessity to stop indication;2011-10-24 13:01:44.536000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;22.629
44;Group 4;task-44273;Resource03;T02 Check confirmation of receipt;2011-10-24 13:01:59.826000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;15.29
45;Group 3;task-44277;Resource03;T04 Determine confirmation of receipt;2011-10-24 13:02:16.227000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;16.401
46;Group 2;task-44279;Resource03;T05 Print and send confirmation of receipt;2011-10-24 13:02:32.399000+00:00;complete;2011-10-10 23:06:40.020000+00:00;Resource11;2012-12-06 00:06:40.010000+00:00;General;Group 8;case-10061;2011-12-06 00:06:40+00:00;Internet;2011-11-23 07:50:44.645000+00:00;16.172
47;Group 1;task-43664;admin2;Confirmation of receipt;2011-10-18 11:34:39.087000+00:00;complete;2011-10-17 12:51:06.416000+00:00;admin3;2012-01-03 12:51:06.416000+00:00;Customer contact;;case-10062;2012-01-03 12:51:06.416000+00:00;Internet;2011-10-18 11:34:37.957000+00:00;0.0
48;EMPTY;task-43698;Resource06;Confirmation of receipt;2011-10-28 08:31:29.136000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;0.0
49;Group 4;task-44947;Resource06;T02 Check confirmation of receipt;2011-10-28 08:31:49.811000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;20.675
50;Group 3;task-44949;Resource06;T04 Determine confirmation of receipt;2011-10-28 08:32:08.374000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;18.563
51;Group 2;task-44950;Resource06;T05 Print and send confirmation of receipt;2011-10-28 08:32:49.753000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;41.379
52;Group 1;task-44948;Resource06;T06 Determine necessity of stop advice;2011-10-28 08:45:06.394000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;736.641
53;Group 1;task-44955;Resource06;T10 Determine necessity to stop indication;2011-10-28 09:01:50.118000+00:00;complete;2011-10-11 23:06:40.020000+00:00;Resource06;2011-12-23 00:06:40.010000+00:00;General;Group 5;case-10065;2012-01-11 00:06:40+00:00;Internet;2011-12-15 23:00:00.010000+00:00;1003.724
54;EMPTY;task-43721;Resource22;Confirmation of receipt;2011-11-22 12:46:36.256000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;0.0
55;Group 4;task-47561;Resource22;T02 Check confirmation of receipt;2011-11-22 12:48:39.989000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;123.733
56;Group 3;task-47565;Resource22;T04 Determine confirmation of receipt;2011-11-22 12:49:21.982000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;41.993
57;Group 2;task-47570;Resource22;T05 Print and send confirmation of receipt;2011-11-22 12:52:51.629000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;209.647
58;Group 1;task-47562;Resource22;T06 Determine necessity of stop advice;2011-11-22 12:57:59.101000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;307.472
59;Group 1;task-47579;Resource22;T10 Determine necessity to stop indication;2011-11-22 12:59:50.916000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource22;2012-12-08 00:06:40.010000+00:00;General;Group 5;case-10066;2012-12-08 00:06:40+00:00;Internet;2011-11-30 07:48:31.281000+00:00;111.815
60;EMPTY;task-43787;Resource13;Confirmation of receipt;2011-11-09 19:39:03.392000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;0.0
61;EMPTY;task-46129;Resource13;T02 Check confirmation of receipt;2011-11-09 19:39:34.137000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;30.745
62;EMPTY;task-46131;Resource13;T04 Determine confirmation of receipt;2011-11-09 19:40:02.334000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;28.197
63;EMPTY;task-46132;Resource13;T05 Print and send confirmation of receipt;2011-11-09 19:40:26.677000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;24.343
64;Group 1;task-46130;Resource13;T06 Determine necessity of stop advice;2011-11-09 19:40:49.698000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;23.021
65;Group 1;task-46133;Resource13;T10 Determine necessity to stop indication;2011-11-09 19:41:13.745000+00:00;complete;2011-10-12 23:06:40.020000+00:00;Resource13;2011-12-08 00:06:40.010000+00:00;General;Group 5;case-10067;2011-12-08 00:06:40+00:00;Internet;2011-11-16 09:31:30.572000+00:00;24.047
66;EMPTY;task-43788;Resource20;Confirmation of receipt;2011-10-20 10:39:37.946000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;0.0
67;Group 4;task-43991;Resource20;T02 Check confirmation of receipt;2011-10-20 10:40:07.912000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;29.966
68;Group 3;task-43993;Resource20;T04 Determine confirmation of receipt;2011-10-20 10:40:31.903000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;23.991
69;Group 2;task-43994;Resource20;T05 Print and send confirmation of receipt;2011-10-20 10:41:02.031000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;30.128
70;Group 1;task-43992;Resource20;T06 Determine necessity of stop advice;2011-10-20 10:41:28.600000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;26.569
71;Group 1;task-43995;Resource20;T10 Determine necessity to stop indication;2011-10-20 10:42:01.990000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource06;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10068;2011-12-09 00:06:40+00:00;Internet;2011-10-24 09:39:09.003000+00:00;33.39
72;EMPTY;task-43792;Resource08;Confirmation of receipt;2011-11-07 14:10:10.205000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;0.0
73;EMPTY;task-45608;Resource08;T02 Check confirmation of receipt;2011-11-07 14:11:51.689000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;101.484
74;EMPTY;task-45610;Resource08;T04 Determine confirmation of receipt;2011-11-07 14:12:53.254000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;61.565
75;EMPTY;task-45611;Resource08;T05 Print and send confirmation of receipt;2011-11-07 14:13:17.976000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;24.722
76;Group 1;task-45609;Resource08;T06 Determine necessity of stop advice;2011-11-07 14:14:49.848000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;91.872
77;Group 1;task-45612;Resource08;T10 Determine necessity to stop indication;2011-11-07 14:16:47.427000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource08;2012-01-04 23:00:00.010000+00:00;General;Group 5;case-10069;2012-01-04 23:00:00+00:00;Internet;2011-12-30 14:41:42.684000+00:00;117.579
78;EMPTY;task-43793;Resource13;Confirmation of receipt;2011-11-09 18:43:25.050000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;0.0
79;Group 1;task-46107;Resource13;T06 Determine necessity of stop advice;2011-11-09 18:43:50.463000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;25.413
80;EMPTY;task-46106;Resource13;T02 Check confirmation of receipt;2011-11-09 18:44:27.071000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;36.608
81;EMPTY;task-46109;Resource13;T04 Determine confirmation of receipt;2011-11-09 18:44:58.894000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;31.823
82;Group 1;task-46108;Resource13;T10 Determine necessity to stop indication;2011-11-09 18:45:21.385000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;22.491
83;Group 2;task-46110;Resource13;T05 Print and send confirmation of receipt;2011-11-09 18:48:48.443000+00:00;complete;2011-10-13 23:06:40.020000+00:00;Resource13;2011-12-09 00:06:40.010000+00:00;General;Group 5;case-10070;2011-12-09 00:06:40+00:00;Internet;2011-11-18 08:47:22.105000+00:00;207.058
84;Group 1;task-43844;Resource21;Confirmation of receipt;2011-10-19 07:56:55.204000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;0.0
85;Group 4;task-43846;Resource21;T02 Check confirmation of receipt;2011-10-19 07:57:39.722000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;44.518
86;Group 3;task-43848;Resource21;T04 Determine confirmation of receipt;2011-10-19 07:58:15.323000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;35.601
87;Group 2;task-43849;Resource21;T05 Print and send confirmation of receipt;2011-10-19 07:58:36.018000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;20.695
88;Group 1;task-43847;Resource21;T06 Determine necessity of stop advice;2011-10-19 07:58:54.326000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;18.308
89;Group 1;task-43850;Resource21;T10 Determine necessity to stop indication;2011-10-20 12:06:59.060000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;101284.734
90;Group 1;task-44022;Resource21;T11 Create document X request unlicensed;2012-01-18 08:48:33.680000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;7764094.62
91;Group 4;task-53047;Resource21;T12 Check document X request unlicensed;2012-01-18 08:49:09.359000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;35.679
92;Group 3;task-53049;Resource21;T14 Determine document X request unlicensed;2012-01-18 08:49:44.753000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;35.394
93;Group 2;task-53051;Resource21;T15 Print document X request unlicensed;2012-01-18 08:50:57.577000+00:00;complete;2011-10-16 23:06:40.020000+00:00;Resource21;2011-12-12 00:06:40.010000+00:00;General;Group 2;case-10071;2011-12-12 00:06:40+00:00;Internet;2012-01-18 08:50:57.856000+00:00;72.824
94;EMPTY;task-43796;Resource02;Confirmation of receipt;2011-10-31 10:09:14.275000+00:00;complete;2011-10-15 23:06:40.020000+00:00;admin1;2011-12-11 00:06:40.010000+00:00;General;;case-10072;2011-12-11 00:06:40+00:00;Internet;2011-12-07 14:03:44.321000+00:00;0.0
95;Group 4;task-45103;Resource02;T02 Check confirmation of receipt;2011-10-31 10:10:03.929000+00:00;complete;2011-10-15 23:06:40.020000+00:00;admin1;2011-12-11 00:06:40.010000+00:00;General;;case-10072;2011-12-11 00:06:40+00:00;Internet;2011-12-07 14:03:44.321000+00:00;49.654
96;Group 3;task-45105;Resource02;T04 Determine confirmation of receipt;2011-10-31 10:10:37.260000+00:00;complete;2011-10-15 23:06:40.020000+00:00;admin1;2011-12-11 00:06:40.010000+00:00;General;;case-10072;2011-12-11 00:06:40+00:00;Internet;2011-12-07 14:03:44.321000+00:00;33.331
