,org:group,resource country,organization country,org:resource,organization involved,org:role,Activity,impact,product,lifecycle:transition,Complete Timestamp,Case ID,Duration
36,Org line A2,Sweden,cn,Tomas,G167 2nd,A2_2,Accepted,Medium,PROD681,Wait,2009-12-02 13:24:34+00:00,1-236817141,47186536.0
37,Org line A2,Sweden,cn,Tomas,G167 2nd,A2_2,Queued,Medium,PROD681,Awaiting Assignment,2010-08-25 09:06:45+00:00,1-236817141,22966931.0
38,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Accepted,Medium,PROD681,In Progress,2011-09-03 06:02:11+00:00,1-236817141,32302526.0
39,Org line A2,Sweden,cn,Niklas,G167 2nd,A2_2,Accepted,Medium,PROD681,Assigned,2011-11-14 15:09:27+00:00,1-236817141,6253636.0
40,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Accepted,Medium,PROD681,In Progress,2012-01-05 13:08:18+00:00,1-236817141,4485531.0
41,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Completed,Medium,PROD681,Closed,2012-01-05 13:09:00+00:00,1-236817141,42.0
42,Org line V7n,Netherlands,nl,Juan,V32 2nd,,Accepted,High,PROD542,In Progress,2008-11-13 08:43:32+00:00,1-270399977,0.0
43,Org line V7n,Netherlands,nl,Juan,V32 2nd,,Accepted,High,PROD542,In Progress,2012-01-30 09:56:24+00:00,1-270399977,101351572.0
44,Org line V7n,Netherlands,nl,Juan,V32 2nd,,Accepted,High,PROD542,In Progress,2012-01-30 10:12:05+00:00,1-270399977,941.0
45,Org line V7n,Netherlands,nl,Earl,V32 2nd,,Queued,High,PROD542,Awaiting Assignment,2012-02-16 13:52:16+00:00,1-270399977,1482011.0
46,Org line V7n,Netherlands,nl,Juan,V37 2nd,,Accepted,High,PROD542,In Progress,2012-02-16 14:09:17+00:00,1-270399977,1021.0
47,Org line V7n,Netherlands,nl,Earl,V32 2nd,,Queued,High,PROD542,Awaiting Assignment,2012-02-16 14:09:43+00:00,1-270399977,26.0
48,Org line V7n,Netherlands,nl,Juan,V37 2nd,,Accepted,High,PROD542,In Progress,2012-02-16 14:10:10+00:00,1-270399977,27.0
49,Org line V7n,Netherlands,nl,Juan,V37 2nd,,Completed,High,PROD542,Closed,2012-03-19 08:26:32+00:00,1-270399977,2744182.0
50,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress,2008-11-13 10:01:04+00:00,1-270427461,0.0
51,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Accepted,Low,PROD753,Wait,2009-12-02 13:24:35+00:00,1-270427461,33189811.0
52,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress,2011-11-14 14:57:27+00:00,1-270427461,61522372.0
53,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Accepted,Low,PROD753,In Progress,2012-01-18 09:17:14+00:00,1-270427461,5595587.0
54,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Completed,Low,PROD753,Closed,2012-01-18 09:19:21+00:00,1-270427461,127.0
55,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress,2009-06-25 07:47:52+00:00,1-310231291,0.0
56,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Accepted,Medium,PROD38,In Progress,2012-03-28 11:10:36+00:00,1-310231291,87016964.0
57,Org line A2,Sweden,se,Mats,M18 2nd,A2_1,Completed,Medium,PROD38,Closed,2012-03-28 11:12:08+00:00,1-310231291,92.0
58,Org line C,Sweden,se,Per,G260 2nd,E_10,Accepted,Medium,PROD425,In Progress,2009-08-11 06:44:51+00:00,1-316086072,0.0
59,Org line C,Sweden,se,Per,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment,2009-08-11 06:55:12+00:00,1-316086072,621.0
60,Org line C,Sweden,se,Per,G260 2nd,E_10,Accepted,Medium,PROD425,Assigned,2009-08-11 10:01:25+00:00,1-316086072,11173.0
61,Org line C,Sweden,se,Per,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment,2010-05-18 10:35:53+00:00,1-316086072,24194068.0
62,Org line C,Sweden,se,Tony,G152 3rd,C_6,Accepted,Medium,PROD425,In Progress,2010-06-16 10:00:32+00:00,1-316086072,2503479.0
63,Org line C,Sweden,se,Tony,G152 3rd,C_6,Accepted,Medium,PROD425,Wait,2011-10-01 20:40:28+00:00,1-316086072,40819196.0
64,Org line C,Sweden,se,Tony,G260 2nd,E_10,Queued,Medium,PROD425,Awaiting Assignment,2011-12-07 11:41:00+00:00,1-316086072,5756432.0
65,Org line C,Sweden,se,Reza,G150 2nd,E_10,Accepted,Medium,PROD425,In Progress,2012-02-15 11:01:20+00:00,1-316086072,6045620.0
66,Org line C,Sweden,se,Reza,G150 2nd,E_10,Completed,Medium,PROD425,Closed,2012-02-19 20:57:21+00:00,1-316086072,381361.0
67,Org line C,Sweden,se,Richard,G237 3rd,C_6,Accepted,Low,PROD498,In Progress,2009-09-07 12:33:24+00:00,1-320604521,0.0
68,Org line C,Sweden,se,Richard,G237 3rd,C_6,Unmatched,Low,PROD498,Unmatched,2009-09-14 09:37:50+00:00,1-320604521,594266.0
69,Org line C,Sweden,se,Richard,G237 3rd,C_6,Completed,Low,PROD498,Closed,2012-04-30 10:21:43+00:00,1-320604521,82860233.0
70,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Queued,Medium,PROD761,Awaiting Assignment,2009-09-16 20:42:12+00:00,1-322204195,0.0
71,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Accepted,Medium,PROD761,In Progress,2009-09-28 09:26:19+00:00,1-322204195,996247.0
72,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Accepted,Medium,PROD761,Wait,2009-09-28 09:26:30+00:00,1-322204195,11.0
73,Org line A2,POLAND,pl,Adam,W16 3rd,A2_1,Queued,Medium,PROD761,Awaiting Assignment,2010-04-08 10:09:22+00:00,1-322204195,16591372.0
74,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Queued,Medium,PROD761,Awaiting Assignment,2010-04-08 10:11:51+00:00,1-322204195,149.0
75,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Accepted,Medium,PROD761,In Progress,2010-04-12 08:05:58+00:00,1-322204195,338047.0
76,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Accepted,Medium,PROD761,Wait,2010-04-12 08:10:24+00:00,1-322204195,266.0
77,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Accepted,Medium,PROD761,In Progress,2011-10-18 14:09:14+00:00,1-322204195,47887130.0
78,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Accepted,Medium,PROD761,Wait,2012-05-24 08:02:19+00:00,1-322204195,18899585.0
79,Org line A2,POLAND,pl,Adam,W15 2nd,A2_1,Completed,Medium,PROD761,Closed,2012-05-24 09:03:31+00:00,1-322204195,3672.0
80,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Accepted,Low,PROD385,In Progress,2009-09-18 10:50:02+00:00,1-322581861,0.0
81,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Unmatched,Low,PROD385,Unmatched,2009-11-17 13:07:38+00:00,1-322581861,5192256.0
82,Org line C,Sweden,se,Stefan,L54 2nd,E_3,Completed,Low,PROD385,Closed,2012-03-13 10:53:35+00:00,1-322581861,73172757.0
83,Org line V2,Sweden,se,Kerstin,T2 2nd,,Accepted,Medium,PROD631,In Progress,2009-09-21 12:13:43+00:00,1-322980802,0.0
84,Org line V2,Sweden,se,Kerstin,T2 2nd,,Completed,Medium,PROD631,Closed,2012-02-07 12:22:11+00:00,1-322980802,75082108.0
85,Org line C,Sweden,se,Reine,N1 3rd,C_5,Accepted,Low,PROD476,In Progress,2009-09-22 12:22:05+00:00,1-323264491,0.0
86,Org line C,Sweden,se,Reine,N1 3rd,C_5,Accepted,Low,PROD476,Assigned,2009-09-22 12:25:17+00:00,1-323264491,192.0
87,Org line C,Sweden,se,Reine,N1 3rd,C_5,Completed,Low,PROD476,Closed,2012-05-24 08:57:49+00:00,1-323264491,84227552.0
88,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,Accepted,High,PROD611,In Progress,2009-09-23 09:52:27+00:00,1-323462732,0.0
89,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,Accepted,High,PROD611,Assigned,2010-01-04 08:00:17+00:00,1-323462732,8892470.0
90,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,Accepted,High,PROD611,In Progress,2010-03-17 15:36:20+00:00,1-323462732,6248163.0
91,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,Accepted,High,PROD611,Assigned,2010-11-09 11:35:55+00:00,1-323462732,20462375.0
92,Org line A2,Sweden,in,Rajashekar,L50 3rd,D_1,Accepted,High,PROD611,In Progress,2010-11-09 13:20:48+00:00,1-323462732,6293.0
93,Org line A2,Sweden,in,Kalpesh,L50 3rd,D_1,Accepted,High,PROD611,In Progress,2012-03-30 06:00:47+00:00,1-323462732,43778399.0
94,Org line A2,INDIA,in,Tise,L50 3rd,D_1,Accepted,High,PROD611,Assigned,2012-03-30 06:05:44+00:00,1-323462732,297.0
95,Org line A2,INDIA,in,TulasiPrasad,L50 3rd,D_1,Accepted,High,PROD611,In Progress,2012-04-19 08:01:14+00:00,1-323462732,1734930.0
96,Org line A2,INDIA,in,TulasiPrasad,L50 3rd,D_1,Completed,High,PROD611,Closed,2012-04-19 08:01:38+00:00,1-323462732,24.0
97,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress,2009-10-14 16:12:54+00:00,1-327329880,0.0
98,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Accepted,Medium,PROD753,Wait,2009-12-02 13:24:37+00:00,1-327329880,4223503.0
99,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress,2011-09-01 22:22:08+00:00,1-327329880,55155451.0
100,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Accepted,Medium,PROD753,In Progress,2012-02-01 08:46:54+00:00,1-327329880,13170286.0
101,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Completed,Medium,PROD753,Closed,2012-02-01 08:46:57+00:00,1-327329880,3.0
102,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Low,PROD46,Wait,2009-10-26 13:47:10+00:00,1-329451027,0.0
103,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Unmatched,Low,PROD46,Unmatched,2009-10-27 08:57:26+00:00,1-329451027,69016.0
104,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Queued,Low,PROD46,Awaiting Assignment,2010-03-02 12:44:22+00:00,1-329451027,10900016.0
105,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Low,PROD46,In Progress,2010-03-02 12:46:10+00:00,1-329451027,108.0
106,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Low,PROD46,Wait,2010-03-02 12:46:18+00:00,1-329451027,8.0
107,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Accepted,Low,PROD46,Assigned,2011-04-11 07:10:20+00:00,1-329451027,34971842.0
108,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Low,PROD46,Assigned,2011-04-11 07:11:48+00:00,1-329451027,88.0
109,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Low,PROD46,Wait,2011-11-28 07:21:27+00:00,1-329451027,19958979.0
110,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Low,PROD46,In Progress,2012-03-30 08:53:50+00:00,1-329451027,10632743.0
111,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Completed,Low,PROD46,Closed,2012-03-30 08:53:53+00:00,1-329451027,3.0
112,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Medium,PROD48,In Progress,2009-10-27 08:42:40+00:00,1-329647261,0.0
113,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Medium,PROD48,Wait,2009-10-27 08:42:49+00:00,1-329647261,9.0
114,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Queued,Medium,PROD48,Awaiting Assignment,2010-03-02 12:43:43+00:00,1-329647261,10900854.0
115,Org line A1,Brazil,se,Ricardo,N5 2nd,,Accepted,Medium,PROD48,In Progress,2010-03-02 12:44:26+00:00,1-329647261,43.0
116,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Medium,PROD48,In Progress,2010-03-03 07:04:11+00:00,1-329647261,65985.0
117,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Medium,PROD48,Wait,2010-06-13 20:32:03+00:00,1-329647261,8861272.0
118,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Accepted,Medium,PROD48,Assigned,2011-04-11 07:12:04+00:00,1-329647261,26044801.0
119,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Accepted,Medium,PROD48,Wait,2011-11-23 10:55:39+00:00,1-329647261,19539815.0
120,Org line A2,POLAND,se,Damian,G357 2nd,A2_2,Completed,Medium,PROD48,Closed,2012-01-19 07:55:41+00:00,1-329647261,4914002.0
121,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Medium,PROD44,In Progress,2009-10-30 12:49:04+00:00,1-330634474,0.0
122,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Medium,PROD44,Assigned,2009-10-30 12:57:13+00:00,1-330634474,489.0
123,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Queued,Medium,PROD44,Awaiting Assignment,2010-03-02 12:43:50+00:00,1-330634474,10626397.0
124,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Medium,PROD44,In Progress,2010-03-02 12:45:25+00:00,1-330634474,95.0
125,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Medium,PROD44,Wait,2010-03-02 12:45:37+00:00,1-330634474,12.0
126,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Completed,Medium,PROD44,Closed,2012-03-30 08:54:30+00:00,1-330634474,65563733.0
127,Org line A2,Sweden,se,Roger,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress,2009-11-04 07:07:28+00:00,1-331478885,0.0
128,Org line A2,Sweden,se,Roger,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress,2010-03-03 14:51:55+00:00,1-331478885,10309467.0
129,Org line A2,POLAND,se,Piotr,G357 2nd,A2_2,Accepted,Medium,PROD46,Assigned,2010-03-03 14:52:18+00:00,1-331478885,23.0
130,Org line A2,POLAND,se,Piotr,G357 2nd,A2_2,Accepted,Medium,PROD46,Assigned,2010-05-24 15:04:58+00:00,1-331478885,7085560.0
131,Org line A2,Sweden,se,Henrik,G357 2nd,A2_2,Accepted,Medium,PROD46,Assigned,2010-08-09 10:39:59+00:00,1-331478885,6636901.0
132,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Accepted,Medium,PROD46,In Progress,2012-04-02 08:18:59+00:00,1-331478885,52004340.0
133,Org line A2,POLAND,se,Katarzyna,G357 2nd,A2_2,Completed,Medium,PROD46,Closed,2012-04-02 08:19:30+00:00,1-331478885,31.0
134,Org line V2,Sweden,se,Ingela,T12,,Queued,Medium,PROD42,Awaiting Assignment,2009-11-09 15:38:14+00:00,1-332389008,0.0
135,Org line V2,Sweden,se,Ingela,T12,,Accepted,Medium,PROD42,In Progress,2009-11-24 08:41:50+00:00,1-332389008,1271016.0
136,Org line V2,Sweden,se,Ingela,T12,,Accepted,Medium,PROD42,Wait,2010-09-10 08:45:16+00:00,1-332389008,25056206.0
137,Org line V2,Sweden,se,Ingela,T12,,Accepted,Medium,PROD42,In Progress,2011-03-28 09:52:46+00:00,1-332389008,17197650.0
138,Org line V2,Sweden,se,Ingela,T12,,Accepted,Medium,PROD42,Wait,2012-01-04 14:53:26+00:00,1-332389008,24382840.0
139,Org line V2,Sweden,se,Ingela,T12,,Completed,Medium,PROD42,Closed,2012-04-13 11:41:36+00:00,1-332389008,8628490.0
140,Org line A2,Belgium,be,Liesbet,G42 3rd,A2_1,Accepted,Medium,PROD787,In Progress,2009-11-12 12:41:27+00:00,1-333164156,0.0
141,Org line A2,Belgium,be,Liesbet,G42 3rd,A2_1,Accepted,Medium,PROD787,In Progress,2010-09-17 08:33:52+00:00,1-333164156,26682745.0
142,Org line A2,United Kingdom,be,Timothy,G42 3rd,A2_1,Queued,Medium,PROD787,Awaiting Assignment,2010-11-12 18:22:19+00:00,1-333164156,4873707.0
143,Org line A2,United Kingdom,be,Ian,G42 3rd,A2_1,Accepted,Medium,PROD787,Assigned,2010-11-23 14:10:22+00:00,1-333164156,935283.0
144,Org line A2,United Kingdom,be,Alan,G42 3rd,A2_1,Accepted,Medium,PROD787,Assigned,2011-01-07 13:55:04+00:00,1-333164156,3887082.0
145,Org line A2,United Kingdom,be,Alan,G42 3rd,A2_1,Accepted,Medium,PROD787,Wait,2011-01-11 16:13:42+00:00,1-333164156,353918.0
146,Org line V11,Denmark,be,Lars,C8,,Accepted,Medium,PROD787,In Progress,2011-05-19 13:45:16+00:00,1-333164156,11050294.0
147,Org line A2,Belgium,be,Ibrahim,G8 2nd,A2_2,Queued,Medium,PROD787,Awaiting Assignment,2011-05-19 13:49:04+00:00,1-333164156,228.0
148,Org line A2,Belgium,be,Ibrahim,G8 2nd,A2_2,Accepted,Medium,PROD787,In Progress,2011-08-25 13:24:01+00:00,1-333164156,8465697.0
149,Org line A2,Belgium,be,Ward,G7 3rd,A2_4,Queued,Medium,PROD787,Awaiting Assignment,2011-08-25 13:24:43+00:00,1-333164156,42.0
150,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Accepted,Medium,PROD787,Assigned,2011-08-25 13:25:33+00:00,1-333164156,50.0
151,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Accepted,Medium,PROD787,In Progress,2011-10-26 15:07:30+00:00,1-333164156,5362917.0
152,Org line A2,Belgium,be,Liesbet,G7 3rd,A2_4,Completed,Medium,PROD787,Closed,2012-03-30 09:45:20+00:00,1-333164156,13459070.0
153,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Accepted,Medium,PROD180,In Progress,2009-11-24 08:44:43+00:00,1-335260940,0.0
154,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Queued,Medium,PROD180,Awaiting Assignment,2009-11-30 09:45:01+00:00,1-335260940,522018.0
155,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Accepted,Medium,PROD180,In Progress,2010-03-14 12:40:26+00:00,1-335260940,8996125.0
156,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Unmatched,Medium,PROD180,Unmatched,2010-03-14 12:40:36+00:00,1-335260940,10.0
157,Org line A2,Belgium,se,Joris,N15 2nd,A2_1,Completed,Medium,PROD180,Closed,2012-01-18 13:26:41+00:00,1-335260940,58322765.0
158,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Unmatched,Major,PROD147,Unmatched,2009-12-04 11:10:14+00:00,1-337229341,0.0
159,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Accepted,Major,PROD147,Assigned,2010-11-29 10:52:49+00:00,1-337229341,31102955.0
160,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Accepted,Major,PROD147,In Progress,2012-04-14 15:22:00+00:00,1-337229341,43388951.0
161,Org line A2,Sweden,se,Lars,G356 2nd,A2_3,Completed,Major,PROD147,Closed,2012-04-14 15:22:21+00:00,1-337229341,21.0
162,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,Accepted,High,PROD708,In Progress,2009-12-14 13:29:17+00:00,1-338946805,0.0
163,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,Accepted,High,PROD708,In Progress,2012-01-10 08:32:43+00:00,1-338946805,65387006.0
164,Org line A2,Sweden,se,Andre,M21 3rd,A2_3,Completed,High,PROD708,Closed,2012-01-10 08:33:57+00:00,1-338946805,74.0
165,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Accepted,Medium,PROD191,In Progress,2009-12-16 11:59:24+00:00,1-339798202,0.0
166,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Accepted,Medium,PROD191,In Progress,2012-03-15 11:21:25+00:00,1-339798202,70845721.0
167,Org line A2,INDIA,se,Minnie,G30 2nd,A2_2,Completed,Medium,PROD191,Closed,2012-03-15 11:21:47+00:00,1-339798202,22.0
168,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,Accepted,High,PROD577,In Progress,2009-12-16 19:47:26+00:00,1-339889001,0.0
169,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,Accepted,High,PROD577,In Progress,2012-03-14 12:04:51+00:00,1-339889001,70733845.0
170,Org line A2,Sweden,se,Kenny,L28 2nd,A2_1,Completed,High,PROD577,Closed,2012-03-14 12:07:29+00:00,1-339889001,158.0
171,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Accepted,Medium,PROD541,In Progress,2009-12-22 08:09:31+00:00,1-340984229,0.0
172,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Unmatched,Medium,PROD541,Unmatched,2009-12-22 08:25:22+00:00,1-340984229,951.0
173,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Completed,Medium,PROD541,Closed,2012-02-01 11:38:06+00:00,1-340984229,66625964.0
174,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Accepted,Low,PROD541,Wait,2009-12-22 09:56:03+00:00,1-341002175,0.0
175,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Accepted,Low,PROD541,In Progress,2012-02-01 11:39:50+00:00,1-341002175,66620627.0
176,Org line A2,Sweden,se,Jüri,G345 2nd,A2_1,Completed,Low,PROD541,Closed,2012-02-01 11:40:25+00:00,1-341002175,35.0
177,Org line A2,Sweden,se,Lena,G354 3rd,A2_3,Accepted,Medium,PROD708,In Progress,2010-01-05 15:42:20+00:00,1-342442140,0.0
